id,name,highway,oneway,defect_class,severity,tiger_reviewed,tiger_cfcc,tiger_name_base,surface,lanes,maxspeed
681876028,Alcott Lane,residential,yes,AB,CRITICAL,no,A41,Alcott,,,
19053502,Andover Road,residential,yes,AB,CRITICAL,no,A41,Andover,,,
532171504,Andover Road,residential,yes,AB,CRITICAL,no,A41,Andover,,,
19057471,Ashburn Road,residential,yes,AB,CRITICAL,no,A41,Ashburn,,,
761362582,Ashburn Road,residential,yes,AB,CRITICAL,no,A41,Ashburn,,,
19070192,Beckham Way,residential,yes,AB,CRITICAL,no,A41,Beckham,asphalt,,
80213964,Beckham Way,residential,yes,AB,CRITICAL,no,A41,Beckham,asphalt,,
530888513,Bent Tree Drive,residential,yes,AB,CRITICAL,no,A41,Bent Tree,,,
530888514,Bent Tree Drive,residential,yes,AB,CRITICAL,no,A41,Bent Tree,,,
19069009,Bishopsgate Drive,residential,yes,AB,CRITICAL,no,A41,Bishopsgate,asphalt,,
200417095,Bishopsgate Drive,residential,yes,AB,CRITICAL,no,A41,Bishopsgate,asphalt,,
200417118,Bishopsgate Drive,residential,yes,AB,CRITICAL,no,A41,Bishopsgate,asphalt,,
18981918,Buckhead Drive,residential,yes,AB,CRITICAL,no,A41,Buckhead,,,
532124226,Buckhead Drive,residential,yes,AB,CRITICAL,no,A41,Buckhead,,,
19053553,Burley Circle,residential,yes,AB,CRITICAL,no,A41,Burley,,,
19053554,Burley Circle,residential,yes,AB,CRITICAL,no,A41,Burley,,,
18986918,Canal Way,residential,yes,AB,CRITICAL,no,A41,Canal,,,
543072354,Canal Way,residential,yes,AB,CRITICAL,no,A41,Canal,,,
19063252,Carillon Boulevard,residential,yes,AB,CRITICAL,no,A41,Carillon,asphalt,,
169669082,Carillon Boulevard,residential,yes,AB,CRITICAL,no,A41,Carillon,asphalt,,
532646796,Carillon Boulevard,residential,yes,AB,CRITICAL,no,A41,Carillon,asphalt,2,
532646813,Carillon Boulevard,residential,yes,AB,CRITICAL,no,A41,Carillon,,1,
532646814,Carillon Boulevard,residential,yes,AB,CRITICAL,no,A41,Carillon,,2,
18980698,Chapel Hill Drive,residential,yes,AB,CRITICAL,no,A41,Chapel Hill,,,
32614063,Chapel Hill Drive,residential,yes,AB,CRITICAL,no,A41,Chapel Hill,,,
19069302,Chase Plaza Drive,residential,yes,AB,CRITICAL,no,A41,,asphalt,4,25 mph
732754701,Chase Plaza Drive,residential,yes,AB,CRITICAL,no,A41,,asphalt,4,25 mph
19055434,Dinsmore Drive,residential,yes,AB,CRITICAL,no,A41,Dinsmore,,,
761362586,Dinsmore Drive,residential,yes,AB,CRITICAL,no,A41,Dinsmore,,,
200714750,Donora Lane,residential,yes,AB,CRITICAL,no,A41,Donora,,,
200714762,Donora Lane,residential,yes,AB,CRITICAL,no,A41,Donora,,,
18979142,Dues Drive,residential,yes,AB,CRITICAL,no,A45,Dues,,,
18986403,Dues Drive,residential,yes,AB,CRITICAL,no,A45,Dues,,,
348076186,Eswin Street,residential,yes,AB,CRITICAL,no,A41,Eswin,,1,
348076187,Eswin Street,residential,yes,AB,CRITICAL,no,A41,Eswin,,,
1074772370,Eswin Street,residential,yes,AB,CRITICAL,no,A41,Eswin,,1,
52431011,Forest Place,residential,yes,AB,CRITICAL,no,A41,Forest,asphalt,,
52096555,Hetherington Lane,residential,yes,AB,CRITICAL,no,A41,Hetherington,asphalt,,
52096558,Hetherington Lane,residential,yes,AB,CRITICAL,no,A41,Hetherington,asphalt,,
19057432,Inner Circle Drive,residential,yes,AB,CRITICAL,no,A41,Inner Circle,asphalt,1,
532646842,Inner Circle Drive,residential,yes,AB,CRITICAL,no,A41,Inner Circle,asphalt,1,
532171487,Junefield Avenue,residential,yes,AB,CRITICAL,no,A41,Junefield,asphalt,,
532171488,Junefield Avenue,residential,yes,AB,CRITICAL,no,A41,Junefield,asphalt,2,
530888528,Kohn Drive,residential,yes,AB,CRITICAL,no,A41,Kohn,,,
530888529,Kohn Drive,residential,yes,AB,CRITICAL,no,A41,Kohn,,,
52325662,Kolb Drive,residential,yes,AB,CRITICAL,no,A41,Kolb,,,
52325665,Kolb Drive,residential,yes,AB,CRITICAL,no,A41,Kolb,,2,
556701646,Kolb Drive,residential,yes,AB,CRITICAL,no,A41,Kolb,,,
556701647,Kolb Drive,residential,yes,AB,CRITICAL,no,A41,Kolb,,2,
19054183,Maple Knoll Terrace,residential,yes,AB,CRITICAL,no,A41,Maple Knoll,asphalt,,
1054992607,Maple Knoll Terrace,residential,yes,AB,CRITICAL,no,A41,Maple Knoll,asphalt,,
1054992608,Maple Knoll Terrace,residential,yes,AB,CRITICAL,no,A41,Maple Knoll,asphalt,,
80213958,Maple Trace,residential,yes,AB,CRITICAL,no,A41,Maple,asphalt,,
80213959,Maple Trace,residential,yes,AB,CRITICAL,no,A41,Maple,asphalt,,
80213960,Maple Trace,residential,yes,AB,CRITICAL,no,A41,Maple,asphalt,,
52431248,Oak Street,residential,yes,AB,CRITICAL,no,A41,Oak,,,
737158929,Pleasant Run Drive,residential,yes,AB,CRITICAL,no,A41,Pleasant Run,,,
737158930,Pleasant Run Drive,residential,yes,AB,CRITICAL,no,A41,Pleasant Run,,,
19061535,Quailridge Court,residential,yes,AB,CRITICAL,no,A41,Quailridge,,,
53199675,Quailridge Court,residential,yes,AB,CRITICAL,no,A41,Quailridge,,,
18986733,Ramblewood Drive,residential,yes,AB,CRITICAL,no,A41,Ramblewood,,,
351515838,Ramblewood Drive,residential,yes,AB,CRITICAL,no,A41,Ramblewood,,,
98598606,Seward Road,residential,yes,AB,CRITICAL,no,A41,Seward,,,
98598608,Seward Road,residential,yes,AB,CRITICAL,no,A41,Seward,,,
98598620,Seward Road,residential,yes,AB,CRITICAL,no,A41,Seward,,,
98598629,Seward Road,residential,yes,AB,CRITICAL,no,A41,Seward,,,
19063510,Towne Commons Way,residential,yes,AB,CRITICAL,no,A41,Towne Commons,,,
553225549,Towne Commons Way,residential,yes,AB,CRITICAL,no,A41,Towne Commons,,,
531658003,Tri-County Parkway East,residential,yes,AB,CRITICAL,no,A41,Tri County,,,35 mph
671732881,Tri-County Parkway East,residential,yes,AB,CRITICAL,no,A41,Tri County,,,35 mph
1374689928,Tri-County Parkway East,residential,yes,AB,CRITICAL,no,A41,Tri County,,,35 mph
1374689929,Tri-County Parkway East,residential,yes,AB,CRITICAL,no,A41,Tri County,,,35 mph
200715035,Vista Glen Drive,residential,yes,AB,CRITICAL,no,A41,Vista Glen,asphalt,,
200715040,Vista Glen Drive,residential,yes,AB,CRITICAL,no,A41,Vista Glen,asphalt,,
98598623,Wedgewood Drive,residential,yes,AB,CRITICAL,no,A41,Seward,,,
98598627,Wedgewood Drive,residential,yes,AB,CRITICAL,no,A41,Seward,,,
32614094,Wildwood Drive,residential,yes,AB,CRITICAL,no,A41,Wildwood,,,
32614096,Wildwood Drive,residential,yes,AB,CRITICAL,no,A41,Wildwood,,,
32614135,Wildwood Drive,residential,yes,AB,CRITICAL,no,A41,Wildwood,,,
32614136,Wildwood Drive,residential,yes,AB,CRITICAL,no,A41,Wildwood,,,
532203988,Wildwood Drive,residential,yes,AB,CRITICAL,no,A41,Wildwood,,2,
95492580,Williamson Drive,residential,yes,AB,CRITICAL,no,A41,Williamson,asphalt,,
95492581,Williamson Drive,residential,yes,AB,CRITICAL,no,A41,Williamson,asphalt,,
80213965,,residential,yes,A,CRITICAL,no,A41,Beckham,,,
19071362,Main Street,residential,yes,A,CRITICAL,no,A41,Lawnview,concrete:lanes,,25 mph
18986111,Adams Circle,residential,,B,HIGH,no,A41,Adams,,,
18986113,Adams Circle,residential,,B,HIGH,no,A41,Adams,,,
19070712,Alcott Lane,residential,,B,HIGH,no,A41,Alcott,,,
532171503,Andover Road,residential,,B,HIGH,no,A41,Andover,,,
18982574,Annandale Drive,residential,,B,HIGH,no,A41,Annandale,,3,
532204030,Annandale Drive,residential,,B,HIGH,no,A41,Annandale,,,
19055101,Ardwick Lane,residential,,B,HIGH,no,A41,Ardwick,,,
19055102,Ardwick Lane,residential,,B,HIGH,no,A41,Ardwick,asphalt,,
761362581,Ashburn Road,residential,,B,HIGH,no,A41,Ashburn,,,
19063992,Aspen Court,service,,B,HIGH,no,A41,Aspen,,,
19063993,Aspen Court,service,,B,HIGH,no,A41,Aspen,,,
19055583,Aspenhill Drive,residential,,B,HIGH,no,A41,Aspenhill,asphalt,,
19055584,Aspenhill Drive,residential,,B,HIGH,no,A41,Aspenhill,asphalt,,
19062549,Bachman Street,residential,,B,HIGH,no,A41,Bachman,,,
1207102368,Bachman Street,residential,,B,HIGH,no,A41,Bachman,,,
19056236,Ballinger Road,residential,,B,HIGH,no,A41,Ballinger,,,
19056238,Ballinger Road,residential,,B,HIGH,no,A41,Ballinger,asphalt,,
19070191,Beckham Way,residential,,B,HIGH,no,A41,Beckham,asphalt,,
18983768,Benchway Court,residential,,B,HIGH,no,A41,Benchway,,,
32558702,Benchway Court,residential,,B,HIGH,no,A41,Benchway,,,
18984669,Bent Tree Drive,residential,,B,HIGH,no,A41,Bent Tree,,,
18984670,Bent Tree Drive,residential,,B,HIGH,no,A41,Bent Tree,,,
338791703,Bent Tree Drive,service,,B,HIGH,no,A41,Bent Tree,,,
530888507,Bent Tree Drive,service,,B,HIGH,no,A41,Bent Tree,,,
530888508,Bent Tree Drive,service,,B,HIGH,no,A41,Bent Tree,,,
530888509,Bent Tree Drive,residential,,B,HIGH,no,A41,Bent Tree,,,
530888510,Bent Tree Drive,residential,,B,HIGH,no,A41,Bent Tree,,,
530888519,Bent Tree Drive,residential,,B,HIGH,no,A41,Bent Tree,,,
18984980,Benzing Drive,residential,,B,HIGH,no,A41,Benzing,,,
532203987,Benzing Drive,residential,,B,HIGH,no,A41,Benzing,,3,
18981723,Bibury Road,residential,,B,HIGH,no,A41,Bibury,,3,
556682608,Bibury Road,residential,,B,HIGH,no,A41,Bibury,,,
18985660,Bilstein Boulevard,secondary,,B,HIGH,no,A41,Berk,,,
52301862,Bilstein Boulevard,secondary,,B,HIGH,no,A41,Berk,,,
200417091,Bishopsgate Drive,residential,,B,HIGH,no,A41,Bishopsgate,,,
18986128,Boone Kenton Drive,residential,,B,HIGH,no,A41,Boone Kenton,,3,
548810325,Boone Kenton Drive,residential,,B,HIGH,no,A41,Boone Kenton,,,
18980584,Boymel Drive,residential,,B,HIGH,no,A41,Boymel,,,
532033438,Boymel Drive,residential,,B,HIGH,no,A41,Boymel,,4,
532204011,Boymel Drive,residential,,B,HIGH,no,A41,Boymel,,3,
532204012,Boymel Drive,residential,,B,HIGH,no,A41,Boymel,,3,
19058510,Brookway Drive,residential,,B,HIGH,no,A41,Brookway,,,
19058512,Brookway Drive,residential,,B,HIGH,no,A41,Brookway,,,
532124222,Buckhead Drive,residential,,B,HIGH,no,A41,Buckhead,,,
18987200,Business Center Drive,residential,,B,HIGH,no,A41,Business Center,,,
248875190,Business Center Drive,residential,,B,HIGH,no,A41,Business Center,,,
40838074,Bypass 4,trunk,yes,B,HIGH,no,A31,State Route 4,,2,
40838075,Bypass 4,trunk,yes,B,HIGH,no,A31,State Route 4,,2,
198861534,Bypass 4,trunk,yes,B,HIGH,no,A31,State Route 4,,2,
198861542,Bypass 4,trunk,yes,B,HIGH,no,A31,State Route 4,,2,
198861553,Bypass 4,trunk,yes,B,HIGH,no,A31,State Route 4,,2,
198861556,Bypass 4,trunk,yes,B,HIGH,no,A31,State Route 4,,3,
198861561,Bypass 4,trunk,yes,B,HIGH,no,A31,State Route 4,,2,
532033464,Bypass 4,trunk,,B,HIGH,no,A31,State Route 4,,4,
532033471,Bypass 4,trunk,,B,HIGH,no,A31,State Route 4,,5,
532033479,Bypass 4,trunk,yes,B,HIGH,no,A31,State Route 4,,3,
548810237,Bypass 4,trunk,yes,B,HIGH,no,A31,State Route 4,,3,
548810238,Bypass 4,trunk,yes,B,HIGH,no,A31,State Route 4,,2,
548810239,Bypass 4,trunk,yes,B,HIGH,no,A31,State Route 4,,4,
548810356,Bypass 4,trunk,yes,B,HIGH,no,A31,State Route 4,,4,
548810357,Bypass 4,trunk,yes,B,HIGH,no,A31,State Route 4,,2,
548810358,Bypass 4,trunk,yes,B,HIGH,no,A31,State Route 4,,5,
18986919,Canal Way,residential,,B,HIGH,no,A41,Canal,,,
18986920,Canal Way,residential,,B,HIGH,no,A41,Canal,,,
543072353,Canal Way,residential,,B,HIGH,no,A41,Canal,,,
18987337,Capitol Hill Drive,residential,,B,HIGH,no,A41,Capitol Hill,,,
18987338,Capitol Hill Drive,residential,,B,HIGH,no,A41,Capitol Hill,,,
169669129,Carillon Boulevard,residential,,B,HIGH,no,A41,Carillon,,,
532646815,Carillon Boulevard,residential,,B,HIGH,no,A41,Carillon,,3,
19052975,Carlsbad Road,residential,,B,HIGH,no,A41,Carlsbad,,,
966071711,Carlsbad Road,residential,,B,HIGH,no,A41,Carlsbad,,,
532203761,Casual Drive,residential,,B,HIGH,no,A41,Casual,,3,
532203766,Casual Drive,residential,,B,HIGH,no,A41,Casual,,,
532203770,Casual Drive,residential,,B,HIGH,no,A41,Casual,,3,
532203776,Casual Drive,residential,,B,HIGH,no,A41,Casual,,,
532203781,Casual Drive,residential,,B,HIGH,no,A41,Casual,,3,
19063096,Cedarhill Drive,residential,,B,HIGH,no,A41,Cedarhill,,,
1292583928,Cedarhill Drive,residential,,B,HIGH,no,A41,Cedarhill,,,25 mph
32614059,Chapel Hill Drive,residential,,B,HIGH,no,A41,Chapel Hill,,,
53198224,Chase Plaza Drive,residential,no,B,HIGH,no,A41,Chase,asphalt,2,25 mph
18983198,Chesapeake Way,residential,,B,HIGH,no,A41,Chesapeake,,,
661086126,Chesapeake Way,residential,,B,HIGH,no,A41,Chesapeake,,,
661086127,Chesapeake Way,residential,,B,HIGH,no,A41,Chesapeake,,,
27919188,Circle Freeway,motorway,yes,B,HIGH,no,A15,I-275,,5,65 mph
