id,name,highway,oneway,defect_class,severity,tiger_reviewed,tiger_cfcc,tiger_name_base,surface,lanes,maxspeed
681876028,Alcott Lane,residential,yes,AB,CRITICAL,no,A41,Alcott,,,
19053502,Andover Road,residential,yes,AB,CRITICAL,no,A41,Andover,,,
532171504,Andover Road,residential,yes,AB,CRITICAL,no,A41,Andover,,,
19057471,Ashburn Road,residential,yes,AB,CRITICAL,no,A41,Ashburn,,,
761362582,Ashburn Road,residential,yes,AB,CRITICAL,no,A41,Ashburn,,,
19070192,Beckham Way,residential,yes,AB,CRITICAL,no,A41,Beckham,asphalt,,
80213964,Beckham Way,residential,yes,AB,CRITICAL,no,A41,Beckham,asphalt,,
19053553,Burley Circle,residential,yes,AB,CRITICAL,no,A41,Burley,,,
19053554,Burley Circle,residential,yes,AB,CRITICAL,no,A41,Burley,,,
19063252,Carillon Boulevard,residential,yes,AB,CRITICAL,no,A41,Carillon,asphalt,,
169669082,Carillon Boulevard,residential,yes,AB,CRITICAL,no,A41,Carillon,asphalt,,
532646796,Carillon Boulevard,residential,yes,AB,CRITICAL,no,A41,Carillon,asphalt,2,
532646813,Carillon Boulevard,residential,yes,AB,CRITICAL,no,A41,Carillon,,1,
532646814,Carillon Boulevard,residential,yes,AB,CRITICAL,no,A41,Carillon,,2,
19069302,Chase Plaza Drive,residential,yes,AB,CRITICAL,no,A41,,asphalt,4,25 mph
732754701,Chase Plaza Drive,residential,yes,AB,CRITICAL,no,A41,,asphalt,4,25 mph
169658085,Civic Center Drive,residential,yes,AB,CRITICAL,no,A41,Civic Center,,,
169658104,Civic Center Drive,residential,yes,AB,CRITICAL,no,A41,Civic Center,,,
532646740,Crest Road,residential,yes,AB,CRITICAL,no,A41,Crest,,,
532646741,Crest Road,residential,yes,AB,CRITICAL,no,A41,Crest,,,
19055434,Dinsmore Drive,residential,yes,AB,CRITICAL,no,A41,Dinsmore,,,
761362586,Dinsmore Drive,residential,yes,AB,CRITICAL,no,A41,Dinsmore,,,
200714750,Donora Lane,residential,yes,AB,CRITICAL,no,A41,Donora,,,
200714762,Donora Lane,residential,yes,AB,CRITICAL,no,A41,Donora,,,
348076186,Eswin Street,residential,yes,AB,CRITICAL,no,A41,Eswin,,1,
348076187,Eswin Street,residential,yes,AB,CRITICAL,no,A41,Eswin,,,
1074772370,Eswin Street,residential,yes,AB,CRITICAL,no,A41,Eswin,,1,
19057432,Inner Circle Drive,residential,yes,AB,CRITICAL,no,A41,Inner Circle,asphalt,1,
532646842,Inner Circle Drive,residential,yes,AB,CRITICAL,no,A41,Inner Circle,asphalt,1,
532171487,Junefield Avenue,residential,yes,AB,CRITICAL,no,A41,Junefield,asphalt,,
532171488,Junefield Avenue,residential,yes,AB,CRITICAL,no,A41,Junefield,asphalt,2,
80213958,Maple Trace,residential,yes,AB,CRITICAL,no,A41,Maple,asphalt,,
80213959,Maple Trace,residential,yes,AB,CRITICAL,no,A41,Maple,asphalt,,
80213960,Maple Trace,residential,yes,AB,CRITICAL,no,A41,Maple,asphalt,,
1341893881,Oliver Court,residential,yes,AB,CRITICAL,no,A41,Oliver,,,
1341893882,Oliver Court,residential,yes,AB,CRITICAL,no,A41,Oliver,,,
19059025,Pulver Drive,residential,yes,AB,CRITICAL,no,A41,Pulver,,,
19061535,Quailridge Court,residential,yes,AB,CRITICAL,no,A41,Quailridge,,,
53199675,Quailridge Court,residential,yes,AB,CRITICAL,no,A41,Quailridge,,,
862875849,Roettele Place,residential,yes,AB,CRITICAL,no,A41,Roettele,concrete,1,
200715035,Vista Glen Drive,residential,yes,AB,CRITICAL,no,A41,Vista Glen,asphalt,,
200715040,Vista Glen Drive,residential,yes,AB,CRITICAL,no,A41,Vista Glen,asphalt,,
95492580,Williamson Drive,residential,yes,AB,CRITICAL,no,A41,Williamson,asphalt,,
95492581,Williamson Drive,residential,yes,AB,CRITICAL,no,A41,Williamson,asphalt,,
80213965,,residential,yes,A,CRITICAL,no,A41,Beckham,,,
19071362,Main Street,residential,yes,A,CRITICAL,no,A41,Lawnview,concrete:lanes,,25 mph
19053013,Walden Glen Circle,residential,yes,A,CRITICAL,no,A41,Walden Glen,,,
19054235,Adams Road,residential,,B,HIGH,no,A41,Adams,,,
19054238,Adams Road,unclassified,,B,HIGH,no,A41,Adams,,,
217920700,Adams Road,residential,no,B,HIGH,no,A41,Adams,,3,
217920710,Adams Road,residential,,B,HIGH,no,A41,Adams,,,
559732778,Adams Road,residential,,B,HIGH,no,A41,Adams,,3,
559732779,Adams Road,residential,no,B,HIGH,no,A41,Adams,,,
560119798,Adams Road,residential,,B,HIGH,no,A41,Adams,,3,
560119799,Adams Road,residential,,B,HIGH,no,A41,Adams,,,
19070712,Alcott Lane,residential,,B,HIGH,no,A41,Alcott,,,
532171503,Andover Road,residential,,B,HIGH,no,A41,Andover,,,
761362581,Ashburn Road,residential,,B,HIGH,no,A41,Ashburn,,,
19063992,Aspen Court,service,,B,HIGH,no,A41,Aspen,,,
19063993,Aspen Court,service,,B,HIGH,no,A41,Aspen,,,
19055583,Aspenhill Drive,residential,,B,HIGH,no,A41,Aspenhill,asphalt,,
19055584,Aspenhill Drive,residential,,B,HIGH,no,A41,Aspenhill,asphalt,,
19062549,Bachman Street,residential,,B,HIGH,no,A41,Bachman,,,
1207102368,Bachman Street,residential,,B,HIGH,no,A41,Bachman,,,
19056236,Ballinger Road,residential,,B,HIGH,no,A41,Ballinger,,,
19056238,Ballinger Road,residential,,B,HIGH,no,A41,Ballinger,asphalt,,
19070191,Beckham Way,residential,,B,HIGH,no,A41,Beckham,asphalt,,
19052345,Beech Drive,tertiary,,B,HIGH,no,A41,Beech,,,
560612445,Beech Drive,residential,,B,HIGH,no,A41,Beech,,,
19053087,Bobolink Avenue,residential,,B,HIGH,no,A41,Bobolink,,,
19053088,Bobolink Avenue,residential,,B,HIGH,no,A41,Bobolink,,,
28043202,Bobolink Avenue,residential,,B,HIGH,no,A41,Bobolink,,,
28043205,Bobolink Avenue,residential,,B,HIGH,no,A41,Bobolink,,,
19065663,Brightview Drive,residential,,B,HIGH,no,A41,Brightview,,,
19065664,Brightview Drive,residential,,B,HIGH,no,A41,Brightview,,,
169669129,Carillon Boulevard,residential,,B,HIGH,no,A41,Carillon,,,
532646815,Carillon Boulevard,residential,,B,HIGH,no,A41,Carillon,,3,
19052975,Carlsbad Road,residential,,B,HIGH,no,A41,Carlsbad,,,
966071711,Carlsbad Road,residential,,B,HIGH,no,A41,Carlsbad,,,
19055976,Case Lane,service,,B,HIGH,no,A74,Case,,,
1293844975,Case Lane,residential,,B,HIGH,no,A41,Case,,,
53198224,Chase Plaza Drive,residential,no,B,HIGH,no,A41,Chase,asphalt,2,25 mph
19064364,Christopal Drive,residential,,B,HIGH,no,A41,Christopal,,,
632417177,Christopal Drive,residential,,B,HIGH,no,A41,Christopal,,,
27919281,Circle Freeway,motorway,yes,B,HIGH,no,A15,I-275,asphalt,5,65 mph
27919296,Circle Freeway,motorway,yes,B,HIGH,no,A15,I-275,,4,65 mph
27919309,Circle Freeway,motorway,yes,B,HIGH,no,A15,I-275,,4,65 mph
280411122,Circle Freeway,motorway,yes,B,HIGH,no,A15,I-275,,4,65 mph
304629863,Circle Freeway,motorway,yes,B,HIGH,no,A15,I-275,,3,65 mph
304633200,Circle Freeway,motorway,yes,B,HIGH,no,A15,I-275,,3,65 mph
1042845607,Circle Freeway,motorway,yes,B,HIGH,no,A15,I-275,asphalt,5,65 mph
1043421065,Circle Freeway,motorway,yes,B,HIGH,no,A15,I-275,,3,65 mph
1043421066,Circle Freeway,motorway,yes,B,HIGH,no,A15,I-275,,4,65 mph
1044769770,Circle Freeway,motorway,yes,B,HIGH,no,A15,I-275,,4,65 mph
1044769771,Circle Freeway,motorway,yes,B,HIGH,no,A15,I-275,,5,65 mph
1044770944,Circle Freeway,motorway,yes,B,HIGH,no,A15,I-275,,4,65 mph
19065182,Civic Center Drive,residential,,B,HIGH,no,A41,Civic Center,,,
19065183,Civic Center Drive,residential,,B,HIGH,no,A41,Civic Center,,,
19065184,Civic Center Drive,residential,,B,HIGH,no,A41,Civic Center,,5,
532646856,Civic Center Drive,residential,,B,HIGH,no,A41,Civic Center,,3,
532646857,Civic Center Drive,residential,,B,HIGH,no,A41,Civic Center,,3,
532646858,Civic Center Drive,residential,,B,HIGH,no,A41,Civic Center,,4,
532646859,Civic Center Drive,residential,,B,HIGH,no,A41,Civic Center,,4,
715016614,Civic Center Drive,residential,,B,HIGH,no,A41,Civic Center,,,
966071718,Civic Center Drive,residential,,B,HIGH,no,A41,Civic Center,,,
19052803,Clovernoll Drive,residential,,B,HIGH,no,A41,Clovernoll,,,
19052805,Clovernoll Drive,residential,,B,HIGH,no,A41,Clovernoll,,,
19052536,Clovernook Avenue,residential,,B,HIGH,no,A41,Clovernook,,,
28043210,Clovernook Avenue,residential,,B,HIGH,no,A41,Clovernook,,,
28043211,Clovernook Avenue,residential,,B,HIGH,no,A41,Clovernook,,,
560119704,Clovernook Avenue,service,,B,HIGH,no,A41,Clovernook,,,
19051485,Compton Hill Drive,residential,,B,HIGH,no,A41,Compton Hill,,,
19069386,Compton Hill Drive,residential,,B,HIGH,no,A41,Compton Hill,,,
19058932,Compton Lake Drive,residential,,B,HIGH,no,A41,Compton Lake,,,
199958788,Compton Lake Drive,residential,,B,HIGH,no,A41,Compton Lake,,,
199958830,Compton Lake Drive,residential,,B,HIGH,no,A41,Compton Lake,,,
199958833,Compton Lake Drive,residential,,B,HIGH,no,A41,Compton Lake,,,
19065252,Compton Road,tertiary,,B,HIGH,no,A41,Compton,,4,
19065255,Compton Road,residential,,B,HIGH,no,A41,Compton,,,
19065257,Compton Road,tertiary,,B,HIGH,no,A41,Compton,,3,
217920562,Compton Road,tertiary,no,B,HIGH,no,A41,Compton,,3,
217920703,Compton Road,tertiary,no,B,HIGH,no,A41,Compton,,2,
217920709,Compton Road,tertiary,no,B,HIGH,no,A41,Compton,,2,
550385156,Compton Road,tertiary,,B,HIGH,no,A41,Compton,,3,
550385188,Compton Road,tertiary,,B,HIGH,no,A41,Compton,,,
550385189,Compton Road,tertiary,,B,HIGH,no,A41,Compton,,3,
558683433,Compton Road,tertiary,,B,HIGH,no,A41,Compton,,2,
560119721,Compton Road,tertiary,no,B,HIGH,no,A41,Compton,,2,
560119726,Compton Road,tertiary,,B,HIGH,no,A41,Compton,,3,
560119780,Compton Road,tertiary,,B,HIGH,no,A41,Compton,,,
560119781,Compton Road,tertiary,,B,HIGH,no,A41,Compton,,3,
560119782,Compton Road,tertiary,,B,HIGH,no,A41,Compton,,3,
560617292,Compton Road,tertiary,no,B,HIGH,no,A41,Compton,,3,
560617293,Compton Road,tertiary,no,B,HIGH,no,A41,Compton,,3,
560617294,Compton Road,tertiary,no,B,HIGH,no,A41,Compton,,2,
560617297,Compton Road,tertiary,no,B,HIGH,no,A41,Compton,,3,
560617299,Compton Road,tertiary,no,B,HIGH,no,A41,Compton,,2,
560617309,Compton Road,tertiary,,B,HIGH,no,A41,Compton,,,
560617310,Compton Road,tertiary,,B,HIGH,no,A41,Compton,,3,
920685650,Compton Road,tertiary,no,B,HIGH,no,A41,Compton,,2,
19066664,Compton Square Drive,service,,B,HIGH,no,A41,Compton Square,,,
265423566,Compton Square Drive,service,,B,HIGH,no,A41,Compton Square,,,
19067897,Corona Road,residential,,B,HIGH,no,A41,Corona,,,
966071712,Corona Road,residential,,B,HIGH,no,A41,Corona,,,
19071977,Covered Bridge Road,residential,,B,HIGH,no,A41,Covered Bridge,,,
484162276,Covered Bridge Road,residential,,B,HIGH,no,A41,Covered Bridge,,,
19057917,Crest Road,residential,,B,HIGH,no,A41,Crest,,,
19057922,Crest Road,tertiary,,B,HIGH,no,A41,Crest,,,
532646739,Crest Road,residential,,B,HIGH,no,A41,Crest,,,
19058569,Cromwell Road,residential,,B,HIGH,no,A41,Cromwell,asphalt,3,
532171498,Cromwell Road,residential,,B,HIGH,no,A41,Cromwell,asphalt,,
19070710,Crossing Drive,service,,B,HIGH,no,A41,Crossing,,,
19070711,Crossing Drive,service,,B,HIGH,no,A41,Crossing,,,
217920561,Daly Road,tertiary,,B,HIGH,no,A41,Daly,,3,
560119722,Daly Road,tertiary,,B,HIGH,no,A41,Daly,,2,
560119725,Daly Road,tertiary,,B,HIGH,no,A41,Daly,,3,35 mph
642983372,Daly Road,tertiary,,B,HIGH,no,A41,Daly,,3,35 mph
642983377,Daly Road,tertiary,,B,HIGH,no,A41,Daly,,2,35 mph
642983378,Daly Road,tertiary,,B,HIGH,no,A41,Daly,,3,35 mph
642983379,Daly Road,tertiary,,B,HIGH,no,A41,Daly,,3,35 mph
642983380,Daly Road,tertiary,,B,HIGH,no,A41,Daly,,2,35 mph
19069798,Damon Road,residential,,B,HIGH,no,A41,Damon,asphalt,3,
532171495,Damon Road,residential,,B,HIGH,no,A41,Damon,,,
19061169,Danbury Road,residential,,B,HIGH,no,A41,Danbury,,,
966071715,Danbury Road,residential,,B,HIGH,no,A41,Danbury,,,
966071716,Danbury Road,residential,,B,HIGH,no,A41,Danbury,,,
19056382,Donora Lane,residential,,B,HIGH,no,A41,Donora,,,
966071717,Donora Lane,residential,,B,HIGH,no,A41,Donora,,,
19065452,Elm Alley,service,,B,HIGH,no,A41,Elm,asphalt,,25 mph
339542736,Elm Alley,service,,B,HIGH,no,A41,Elm,asphalt,,25 mph
19053050,Enfield Street,residential,,B,HIGH,no,A41,Enfield,asphalt,,
19053051,Enfield Street,residential,,B,HIGH,no,A41,Enfield,asphalt,,
19069036,Eswin Street,residential,,B,HIGH,no,A41,Eswin,asphalt,,
348076185,Eswin Street,residential,,B,HIGH,no,A41,Eswin,asphalt,,
532171491,Eswin Street,residential,,B,HIGH,no,A41,Eswin,asphalt,3,
920649430,Eswin Street,residential,,B,HIGH,no,A41,Eswin,asphalt,,
